Pizza		
Végétarienne	Tomate, fraise, tapenade d'olive, tomate séchées, oignons rouge, càpres,mozzarella. Ensortie de four: salade, avocat, créme de vinaigre balsamique	9
Jambon Mozza	Blancs de volaille, base mozzarella, parmesan, tomate fraiche, En sortie du four : salade, avocat, crème de vinaigre balsamique, des de tomates fraîches, câpres, olives noires, sauce Caesar 	10
Trois Fromage	Mozzarella, chévre, gorgnozola, tyomate fraiches, sauce tomate 	10
Régina	jambon cuit, champignons de Paris frais, mozzarella , sauce tomate	11
Margherita	Fromage mozzarella, sauce tomate, olives, origan	12
Vésuvio	chorizo, poivrons frais, oignons rouges, oeuf, mozzarella, sauce tomate	11
Merguez	Merguez, boeuf et mouton, oignons rouge , dés de tomates, câpres, oeuf cuit minute, sauce tomate	11
Dessert		
Café gourmand Gaufre	 Café, décaféiné ou thé Gaufe ou moelleux au chocolat, saucechocolat, chantilly, panna cotta, coulis de framboise	6
Moelleux au chocola	 moelleux au chocolat, amandes grillées, tout juste sorti du four, pour les amoureux de chocolat au choix: Sauce chocolat noir & glace Tiramisu ou Coulis de framboise & glace vanille	7
Crousti poire	Mini-pizza cuite à la minute, créme d'amandes, poir caramele, glace vanille sauce chocolat	7
Mousse au chocola	Du chocolat noir fondant allégé aux blancs d'oeufs	6.5
Glaces		
Coupe Antillaise	Rhum-raisin (3 boules), rhum(3cl)	3
Colonel italien	Citon (3boules), Grappa Piave (3cl)	4
Fresca coulis de chocola	Sorbets: citron, Framboise, fruit de la passion, coulis de framboise	5
